# cycle i_ni i_router o_ni o_router vnet flit
1 12 12 27 3 0 8
1 3 3 33 9 0 8
1 3 3 41 17 1 8
1 9 9 41 17 0 8
1 17 17 29 5 0 8
1 17 17 34 10 1 8
1 5 5 34 10 0 8
1 10 10 44 20 0 8
1 10 10 43 19 1 8
1 19 19 40 16 0 8
1 16 16 26 2 0 8
1 16 16 37 13 1 8
1 16 16 25 1 1 8
1 20 20 40 16 0 8
1 2 2 40 16 0 8
1 13 13 35 11 0 8
1 11 11 32 8 0 8
1 8 8 39 15 0 8
1 8 8 31 7 1 8
1 8 8 30 6 1 8
1 1 1 32 8 0 8
1 15 15 32 8 0 8
1 7 7 38 14 0 8
1 14 14 28 4 0 8
1 14 14 24 0 1 8
1 6 6 38 14 0 8
1 4 4 24 0 0 8
1 0 0 42 18 0 8
9 12 12 27 3 0 8
9 3 3 33 9 0 8
9 3 3 41 17 1 8
9 9 9 41 17 0 8
9 17 17 29 5 0 8
9 17 17 34 10 1 8
9 5 5 34 10 0 8
9 10 10 44 20 0 8
9 10 10 43 19 1 8
9 19 19 40 16 0 8
9 16 16 26 2 0 8
9 16 16 37 13 1 8
9 16 16 25 1 1 8
9 20 20 40 16 0 8
9 2 2 40 16 0 8
9 13 13 35 11 0 8
9 11 11 32 8 0 8
9 8 8 39 15 0 8
9 8 8 31 7 1 8
9 8 8 30 6 1 8
9 1 1 32 8 0 8
9 15 15 32 8 0 8
9 7 7 38 14 0 8
9 14 14 28 4 0 8
9 14 14 24 0 1 8
9 6 6 38 14 0 8
9 4 4 24 0 0 8
9 0 0 42 18 0 8
17 12 12 27 3 0 8
17 3 3 33 9 0 8
17 3 3 41 17 1 8
17 9 9 41 17 0 8
17 17 17 29 5 0 8
17 17 17 34 10 1 8
17 5 5 34 10 0 8
17 10 10 44 20 0 8
17 10 10 43 19 1 8
17 19 19 40 16 0 8
17 16 16 26 2 0 8
17 16 16 37 13 1 8
17 16 16 25 1 1 8
17 20 20 40 16 0 8
17 2 2 40 16 0 8
17 13 13 35 11 0 8
17 11 11 32 8 0 8
17 8 8 39 15 0 8
17 8 8 31 7 1 8
17 8 8 30 6 1 8
17 1 1 32 8 0 8
17 15 15 32 8 0 8
17 7 7 38 14 0 8
17 14 14 28 4 0 8
17 14 14 24 0 1 8
17 6 6 38 14 0 8
17 4 4 24 0 0 8
17 0 0 42 18 0 8
25 12 12 27 3 0 8
25 3 3 33 9 0 8
25 3 3 41 17 1 8
25 9 9 41 17 0 8
25 17 17 29 5 0 8
25 17 17 34 10 1 8
25 5 5 34 10 0 8
25 10 10 44 20 0 8
25 10 10 43 19 1 8
25 19 19 40 16 0 8
25 16 16 26 2 0 8
25 16 16 37 13 1 8
25 16 16 25 1 1 8
25 20 20 40 16 0 8
25 2 2 40 16 0 8
25 13 13 35 11 0 8
25 11 11 32 8 0 8
25 8 8 39 15 0 8
25 8 8 31 7 1 8
25 8 8 30 6 1 8
25 1 1 32 8 0 8
25 15 15 32 8 0 8
25 7 7 38 14 0 8
25 14 14 28 4 0 8
25 14 14 24 0 1 8
25 6 6 38 14 0 8
25 4 4 24 0 0 8
25 0 0 42 18 0 8
33 12 12 27 3 0 8
33 3 3 33 9 0 8
33 3 3 41 17 1 8
33 9 9 41 17 0 8
33 17 17 29 5 0 8
33 17 17 34 10 1 8
33 5 5 34 10 0 8
33 10 10 44 20 0 8
33 10 10 43 19 1 8
33 19 19 40 16 0 8
33 16 16 26 2 0 8
33 16 16 37 13 1 8
33 16 16 25 1 1 8
33 20 20 40 16 0 8
33 2 2 40 16 0 8
33 13 13 35 11 0 8
33 11 11 32 8 0 8
33 8 8 39 15 0 8
33 8 8 31 7 1 8
33 8 8 30 6 1 8
33 1 1 32 8 0 8
33 15 15 32 8 0 8
33 7 7 38 14 0 8
33 14 14 28 4 0 8
33 14 14 24 0 1 8
33 6 6 38 14 0 8
33 4 4 24 0 0 8
33 0 0 42 18 0 8
41 12 12 27 3 0 8
41 3 3 33 9 0 8
41 3 3 41 17 1 8
41 9 9 41 17 0 8
41 17 17 29 5 0 8
41 17 17 34 10 1 8
41 5 5 34 10 0 8
41 10 10 44 20 0 8
41 10 10 43 19 1 8
41 19 19 40 16 0 8
41 16 16 26 2 0 8
41 16 16 37 13 1 8
41 16 16 25 1 1 8
41 20 20 40 16 0 8
41 2 2 40 16 0 8
41 13 13 35 11 0 8
41 11 11 32 8 0 8
41 8 8 39 15 0 8
41 8 8 31 7 1 8
41 8 8 30 6 1 8
41 1 1 32 8 0 8
41 15 15 32 8 0 8
41 7 7 38 14 0 8
41 14 14 28 4 0 8
41 14 14 24 0 1 8
41 6 6 38 14 0 8
41 4 4 24 0 0 8
41 0 0 42 18 0 8
49 12 12 27 3 0 8
49 3 3 33 9 0 8
49 3 3 41 17 1 8
49 9 9 41 17 0 8
49 17 17 29 5 0 8
49 17 17 34 10 1 8
49 5 5 34 10 0 8
49 10 10 44 20 0 8
49 10 10 43 19 1 8
49 19 19 40 16 0 8
49 16 16 26 2 0 8
49 16 16 37 13 1 8
49 16 16 25 1 1 8
49 20 20 40 16 0 8
49 2 2 40 16 0 8
49 13 13 35 11 0 8
49 11 11 32 8 0 8
49 8 8 39 15 0 8
49 8 8 31 7 1 8
49 8 8 30 6 1 8
49 1 1 32 8 0 8
49 15 15 32 8 0 8
49 7 7 38 14 0 8
49 14 14 28 4 0 8
49 14 14 24 0 1 8
49 6 6 38 14 0 8
49 4 4 24 0 0 8
49 0 0 42 18 0 8
57 12 12 27 3 0 8
57 3 3 33 9 0 8
57 3 3 41 17 1 8
57 9 9 41 17 0 8
57 17 17 29 5 0 8
57 17 17 34 10 1 8
57 5 5 34 10 0 8
57 10 10 44 20 0 8
57 10 10 43 19 1 8
57 19 19 40 16 0 8
57 16 16 26 2 0 8
57 16 16 37 13 1 8
57 16 16 25 1 1 8
57 20 20 40 16 0 8
57 2 2 40 16 0 8
57 13 13 35 11 0 8
57 11 11 32 8 0 8
57 8 8 39 15 0 8
57 8 8 31 7 1 8
57 8 8 30 6 1 8
57 1 1 32 8 0 8
57 15 15 32 8 0 8
57 7 7 38 14 0 8
57 14 14 28 4 0 8
57 14 14 24 0 1 8
57 6 6 38 14 0 8
57 4 4 24 0 0 8
57 0 0 42 18 0 8
65 12 12 27 3 0 8
65 3 3 33 9 0 8
65 3 3 41 17 1 8
65 9 9 41 17 0 8
65 17 17 29 5 0 8
65 17 17 34 10 1 8
65 5 5 34 10 0 8
65 10 10 44 20 0 8
65 10 10 43 19 1 8
65 19 19 40 16 0 8
65 16 16 26 2 0 8
65 16 16 37 13 1 8
65 16 16 25 1 1 8
65 20 20 40 16 0 8
65 2 2 40 16 0 8
65 13 13 35 11 0 8
65 11 11 32 8 0 8
65 8 8 39 15 0 8
65 8 8 31 7 1 8
65 8 8 30 6 1 8
