# cycle i_ni i_router o_ni o_router vnet flit
1 9 9 52 22 0 8
1 22 22 43 13 0 8
1 13 13 54 24 0 8
1 24 24 48 18 0 8
1 18 18 35 5 0 8
1 5 5 53 23 0 8
1 23 23 44 14 0 8
1 14 14 38 8 0 8
1 8 8 50 20 0 8
1 20 20 31 1 0 8
1 1 1 37 7 0 8
1 7 7 41 11 0 8
1 11 11 40 10 0 8
1 10 10 45 15 0 8
1 15 15 47 17 0 8
1 17 17 42 12 0 8
1 12 12 49 19 0 8
1 19 19 57 27 0 8
1 27 27 30 0 0 8
1 0 0 32 2 0 8
1 2 2 56 26 0 8
1 26 26 55 25 0 8
1 25 25 34 4 0 8
1 4 4 36 6 0 8
1 6 6 33 3 0 8
1 3 3 51 21 0 8
1 21 21 46 16 0 8
9 9 9 52 22 0 8
9 22 22 43 13 0 8
9 13 13 54 24 0 8
9 24 24 48 18 0 8
9 18 18 35 5 0 8
9 5 5 53 23 0 8
9 23 23 44 14 0 8
9 14 14 38 8 0 8
9 8 8 50 20 0 8
9 20 20 31 1 0 8
9 1 1 37 7 0 8
9 7 7 41 11 0 8
9 11 11 40 10 0 8
9 10 10 45 15 0 8
9 15 15 47 17 0 8
9 17 17 42 12 0 8
9 12 12 49 19 0 8
9 19 19 57 27 0 8
9 27 27 30 0 0 8
9 0 0 32 2 0 8
9 2 2 56 26 0 8
9 26 26 55 25 0 8
9 25 25 34 4 0 8
9 4 4 36 6 0 8
9 6 6 33 3 0 8
9 3 3 51 21 0 8
9 21 21 46 16 0 8
17 9 9 52 22 0 8
17 22 22 43 13 0 8
17 13 13 54 24 0 8
17 24 24 48 18 0 8
17 18 18 35 5 0 8
17 5 5 53 23 0 8
17 23 23 44 14 0 8
17 14 14 38 8 0 8
17 8 8 50 20 0 8
17 20 20 31 1 0 8
17 1 1 37 7 0 8
17 7 7 41 11 0 8
17 11 11 40 10 0 8
17 10 10 45 15 0 8
17 15 15 47 17 0 8
17 17 17 42 12 0 8
17 12 12 49 19 0 8
17 19 19 57 27 0 8
17 27 27 30 0 0 8
17 0 0 32 2 0 8
17 2 2 56 26 0 8
17 26 26 55 25 0 8
17 25 25 34 4 0 8
17 4 4 36 6 0 8
17 6 6 33 3 0 8
17 3 3 51 21 0 8
17 21 21 46 16 0 8
25 9 9 52 22 0 8
25 22 22 43 13 0 8
25 13 13 54 24 0 8
25 24 24 48 18 0 8
25 18 18 35 5 0 8
25 5 5 53 23 0 8
25 23 23 44 14 0 8
25 14 14 38 8 0 8
25 8 8 50 20 0 8
25 20 20 31 1 0 8
25 1 1 37 7 0 8
25 7 7 41 11 0 8
25 11 11 40 10 0 8
25 10 10 45 15 0 8
25 15 15 47 17 0 8
25 17 17 42 12 0 8
25 12 12 49 19 0 8
25 19 19 57 27 0 8
25 27 27 30 0 0 8
25 0 0 32 2 0 8
25 2 2 56 26 0 8
25 26 26 55 25 0 8
25 25 25 34 4 0 8
25 4 4 36 6 0 8
25 6 6 33 3 0 8
25 3 3 51 21 0 8
25 21 21 46 16 0 8
33 9 9 52 22 0 8
33 22 22 43 13 0 8
33 13 13 54 24 0 8
33 24 24 48 18 0 8
33 18 18 35 5 0 8
33 5 5 53 23 0 8
33 23 23 44 14 0 8
33 14 14 38 8 0 8
33 8 8 50 20 0 8
33 20 20 31 1 0 8
33 1 1 37 7 0 8
33 7 7 41 11 0 8
33 11 11 40 10 0 8
33 10 10 45 15 0 8
33 15 15 47 17 0 8
33 17 17 42 12 0 8
33 12 12 49 19 0 8
33 19 19 57 27 0 8
33 27 27 30 0 0 8
33 0 0 32 2 0 8
33 2 2 56 26 0 8
33 26 26 55 25 0 8
33 25 25 34 4 0 8
33 4 4 36 6 0 8
33 6 6 33 3 0 8
33 3 3 51 21 0 8
33 21 21 46 16 0 8
41 9 9 52 22 0 8
41 22 22 43 13 0 8
41 13 13 54 24 0 8
41 24 24 48 18 0 8
41 18 18 35 5 0 8
41 5 5 53 23 0 8
41 23 23 44 14 0 8
41 14 14 38 8 0 8
41 8 8 50 20 0 8
