# cycle i_ni i_router o_ni o_router vnet flit
9 10 10 146 26 0 8
9 10 10 143 23 1 8
9 26 26 137 17 0 8
9 17 17 143 23 0 8
9 23 23 222 102 0 8
9 23 23 222 102 1 8
9 102 102 177 57 0 8
9 57 57 164 44 0 8
9 44 44 153 33 0 8
9 44 44 153 33 1 8
9 33 33 187 67 0 8
9 33 33 204 84 1 8
9 67 67 204 84 0 8
9 84 84 152 32 0 8
9 84 84 229 109 1 8
9 84 84 168 48 1 8
9 32 32 194 74 0 8
9 74 74 204 84 0 8
9 109 109 184 64 0 8
9 64 64 168 48 0 8
9 48 48 132 12 0 8
9 48 48 123 3 1 8
9 48 48 129 9 1 8
9 48 48 189 69 1 8
9 12 12 168 48 0 8
9 3 3 159 39 0 8
9 39 39 168 48 0 8
9 9 9 189 69 0 8
9 69 69 182 62 0 8
9 69 69 145 25 1 8
9 25 25 182 62 0 8
9 62 62 124 4 0 8
9 62 62 140 20 1 8
9 62 62 141 21 1 8
9 62 62 200 80 1 8
9 4 4 206 86 0 8
9 86 86 182 62 0 8
9 20 20 134 14 0 8
9 14 14 182 62 0 8
9 80 80 141 21 0 8
9 21 21 215 95 0 8
9 21 21 238 118 1 8
9 21 21 181 61 1 8
9 95 95 234 114 0 8
9 114 114 141 21 0 8
9 118 118 147 27 0 8
9 27 27 181 61 0 8
9 61 61 210 90 0 8
9 61 61 210 90 1 8
9 90 90 195 75 0 8
9 90 90 212 92 1 8
9 90 90 235 115 1 8
9 75 75 125 5 0 8
9 5 5 210 90 0 8
9 92 92 235 115 0 8
9 115 115 127 7 0 8
9 115 115 223 103 1 8
9 7 7 223 103 0 8
9 103 103 219 99 0 8
9 103 103 149 29 1 8
9 99 99 149 29 0 8
9 29 29 157 37 0 8
9 29 29 221 101 1 8
9 101 101 157 37 0 8
9 37 37 213 93 0 8
9 37 37 198 78 1 8
9 78 78 213 93 0 8
9 93 93 188 68 0 8
9 93 93 173 53 1 8
9 68 68 173 53 0 8
9 53 53 190 70 0 8
9 53 53 211 91 1 8
9 53 53 230 110 1 8
9 53 53 150 30 1 8
9 70 70 231 111 0 8
9 111 111 173 53 0 8
9 91 91 172 52 0 8
9 52 52 173 53 0 8
9 110 110 150 30 0 8
9 30 30 128 8 0 8
9 8 8 161 41 0 8
9 8 8 165 45 1 8
9 41 41 165 45 0 8
9 45 45 171 51 0 8
9 45 45 185 65 1 8
9 45 45 154 34 1 8
9 51 51 216 96 0 8
9 96 96 165 45 0 8
9 65 65 154 34 0 8
9 34 34 131 11 0 8
9 34 34 138 18 1 8
9 34 34 121 1 1 8
9 11 11 120 0 0 8
9 0 0 154 34 0 8
9 18 18 121 1 0 8
9 1 1 162 42 0 8
9 1 1 142 22 1 8
9 22 22 162 42 0 8
9 42 42 201 81 0 8
9 42 42 225 105 1 8
9 42 42 217 97 1 8
9 42 42 220 100 1 8
9 42 42 144 24 1 8
9 42 42 167 47 1 8
9 81 81 176 56 0 8
9 56 56 162 42 0 8
9 105 105 174 54 0 8
9 54 54 162 42 0 8
9 97 97 178 58 0 8
9 58 58 162 42 0 8
9 100 100 237 117 0 8
9 117 117 162 42 0 8
9 24 24 167 47 0 8
9 47 47 227 107 0 8
9 47 47 155 35 1 8
9 107 107 202 82 0 8
9 82 82 155 35 0 8
9 35 35 158 38 0 8
9 35 35 158 38 1 8
9 38 38 186 66 0 8
9 38 38 239 119 1 8
9 119 119 186 66 0 8
9 66 66 183 63 0 8
9 66 66 193 73 1 8
9 73 73 183 63 0 8
9 63 63 136 16 0 8
9 16 16 133 13 0 8
9 13 13 183 63 0 8
17 28 28 191 71 0 8
17 28 28 139 19 1 8
17 71 71 139 19 0 8
17 19 19 224 104 0 8
17 19 19 180 60 1 8
17 104 104 163 43 0 8
17 43 43 180 60 0 8
17 60 60 126 6 0 8
17 60 60 160 40 1 8
17 60 60 236 116 1 8
17 60 60 169 49 1 8
17 6 6 180 60 0 8
17 40 40 192 72 0 8
17 72 72 180 60 0 8
17 49 49 236 116 0 8
17 116 116 196 76 0 8
17 116 116 203 83 1 8
17 76 76 203 83 0 8
17 83 83 135 15 0 8
17 15 15 197 77 0 8
17 15 15 209 89 1 8
17 77 77 209 89 0 8
17 89 89 170 50 0 8
17 89 89 208 88 1 8
17 89 89 218 98 1 8
17 50 50 122 2 0 8
17 2 2 209 89 0 8
17 88 88 218 98 0 8
17 98 98 214 94 0 8
17 98 98 232 112 1 8
17 94 94 228 108 0 8
17 108 108 232 112 0 8
17 112 112 151 31 0 8
17 112 112 175 55 1 8
17 112 112 166 46 1 8
